"title","document_type","eli5","keywords","url"
"Presidential Actions Archives","Presidential Action","**What's Happening**

On January 20, 2025, President Trump made a lot of important decisions, like picking new leaders and making sure people can speak freely. It's like when you decide who gets to be the team captain and set new rules to make everything work smoothly for everyone.","Presidential Actions; Freedom of Speech; Federal Censorship; Executive Order Rescissions; Inauguration Day; Cabinet Appointments; Chairmen Designations","https://www.whitehouse.gov/presidential-actions/"
"News","Presidential Action","The President made a lot of important decisions all on one day, like stopping some jobs from hiring and deciding to leave a big health group called the World Health Organization.","Presidential Actions; Accountability; Withdraw WHO; TikTok; Pardons; Environmental Agreements; Emergency Price Relief; Hiring Freeze; Regulatory Freeze; In-person Work; Federal Government; Policy Changes","https://www.whitehouse.gov/news/"
"News","Presidential Action","This webpage is like a big menu showing what President Trump announced on January 20, 2025—new helpers in his team and what he wants to focus on for America.","President Trump; appointments; America First; January 2025; White House announcements; presidential actions","https://www.whitehouse.gov/news/"
"News","Presidential Action","President Trump said who will help him run the government. He's choosing bosses and helpers for his team. It's like picking a team in a game to help things work better.","Presidential Actions; Trump; Chairman Designation; Cabinet Positions; Sub-Cabinet Appointments; America First","https://www.whitehouse.gov/news/"
"News","Presidential Action","The President of the United States talked about his new job and shared a plan called 'America First.' He picked people to help him with important jobs, and they raised the American flag to celebrate his first working day.","inaugural address; presidential actions; cabinet appointments; America First; Trump inauguration; policy priorities; January 20, 2025","https://www.whitehouse.gov/news/"
"News","Presidential Action","The President made some important choices on who will help him run the country starting January 20, 2025. He picked people for big jobs, and he has a plan called 'America First' that he wants to follow.","Presidential Actions; Trump; Appointments; Chairmen; Cabinet; America First; Briefings","https://www.whitehouse.gov/news/"
"News","Presidential Action","President Trump made a lot of important announcements on January 20, 2025. He chose new people to help run the government and talked about his main plans, called 'America First.' This was all shared on the White House website.","President Trump; Inauguration Day; presidential actions; appointments; America First; White House; leadership; cabinet; sub-cabinet","https://www.whitehouse.gov/news/"
"News","Presidential Action","This webpage lets you read about U.S. government activities, like who's in charge and what plans they have. It tells you where to click to find more info.","White House; News; Presidential Actions; Briefings; Statements; Trump; Cabinet; America First","https://www.whitehouse.gov/news/"
"Presidential Actions Archives","Presidential Action","The president made a list of decisions to improve things like school and safety on airplanes. It's like a list of big changes he wants to make to help everyone.","Presidential Actions; Donald J. Trump; Lame-duck Agreements; Deregulation; Aviation Safety; Anti-Semitism; Law Signing; Guantanamo Bay; Education; Collective Bargaining","https://www.whitehouse.gov/presidential-actions/"
"Presidential Actions Archives","Presidential Action","This page lists important things the President decided to do in January 2025. Some choices were about making things fairer at work, keeping airplanes safe, and naming bad groups ""terrorists"" so people know they're dangerous.","Presidential Actions; Clemency; Senate Nominations; Merit-based Opportunity; Aviation Safety; Government Reform; Illegal Discrimination; Foreign Terrorist Organizations; Federal Hiring","https://www.whitehouse.gov/presidential-actions/"
